Marital status,Application mode,Application order,Gender,Age at enrollment,Course,Course Name,Daytime/evening attendance,Previous qualification,Previous qualification (grade out of 200),Nationality Name,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Student_Success
single,2nd phase - general contingent,6,male,19.0,9254,Tourism,daytime,Secondary education,108.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",112.2,yes,no,no,yes,no,no,0,6,13,5,10.8,0,0,6,12,3,10.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,3,female,19.0,9556,Oral Hygiene,daytime,Secondary education,132.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",119.0,yes,no,no,yes,no,no,0,7,9,7,11.67777778,0,0,8,8,8,13.8,0,12.7,3.7,-1.7,Graduate
single,3rd phase - general contingent,3,female,18.0,9500,Nursing,daytime,Secondary education,131.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",127.5,yes,no,no,yes,no,no,0,7,7,7,13.45714286,0,0,8,8,8,14.5125,0,13.9,-0.3,0.79,Graduate
single,Over 23 years old,1,male,31.0,9003,Agronomy,daytime,Secondary education,133.1,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",110.0,no,no,no,yes,no,no,0,6,15,3,14.4,0,0,6,20,0,0.0,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,2,female,18.0,9500,Nursing,daytime,Secondary education,135.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,127.3,yes,no,no,yes,no,no,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,3,female,18.0,9500,Nursing,daytime,Secondary education,134.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.3,yes,no,no,yes,yes,no,0,8,8,7,12.08285714,0,0,8,8,7,12.08285714,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,female,19.0,9085,Veterinary Nursing,daytime,Secondary education,135.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",134.3,yes,no,no,yes,no,no,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,2,female,18.0,9500,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125.1,yes,no,no,yes,yes,no,0,7,9,6,12.81666667,0,0,8,11,6,12.875,0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,2,female,18.0,9254,Tourism,daytime,Secondary education,136.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",125.2,yes,no,no,yes,yes,no,0,6,8,6,12.28571429,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate
single,Over 23 years old,1,male,24.0,9119,Informatics Engineering,daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,100.0,no,no,yes,yes,no,no,0,5,11,0,0.0,0,0,5,5,0,0.0,0,16.2,0.3,-0.92,Dropout
single,Change of course,1,male,32.0,9991,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",141.0,no,no,no,yes,yes,no,5,10,12,10,13.8,0,5,10,10,10,12.8,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,female,18.0,9500,Nursing,daytime,Secondary education,149.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,136.0,no,no,no,yes,yes,no,0,7,7,6,12.91666667,0,0,7,7,6,12.91666667,0,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,1,male,19.0,9254,Tourism,daytime,Secondary education,125.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",116.6,no,no,no,yes,yes,no,0,6,8,5,12.66666667,0,0,6,10,6,12.85714286,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,2,female,19.0,9238,Social Service,daytime,Secondary education,122.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",118.2,yes,no,no,yes,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout
married,Over 23 years old,1,male,35.0,33,Biofuel Production Technologies,daytime,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",153.8,no,no,yes,yes,no,no,0,7,9,0,0.0,0,0,7,8,0,0.0,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,3,female,18.0,171,Animation and Multimedia Design,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,115.2,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,Over 23 years old,1,male,25.0,9556,Oral Hygiene,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,105.0,no,no,no,yes,no,no,0,7,14,4,12.95,1,0,7,11,4,13.125,1,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,1,male,23.0,9500,Nursing,daytime,Secondary education,127.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,121.5,no,no,no,yes,no,no,0,7,7,6,13.48333333,0,0,7,7,6,13.48333333,0,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,1,female,19.0,9238,Social Service,daytime,Secondary education,133.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",123.6,no,no,no,yes,yes,no,0,6,7,6,13.5,0,0,6,7,6,14.0,0,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,4,male,21.0,9773,Journalism and Communication,daytime,Secondary education,129.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",132.5,yes,no,no,yes,no,no,0,6,7,0,0.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Enrolled
single,1st phase - general contingent,1,male,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,137.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,122.3,no,no,no,yes,yes,no,0,6,7,6,13.57142857,0,0,6,6,6,14.33333333,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,6,male,22.0,9070,Communication Design,daytime,Frequency of higher education,119.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,123.2,yes,no,no,yes,no,no,0,6,6,6,14.16666667,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,female,20.0,9500,Nursing,daytime,Secondary education,138.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",144.3,no,no,no,yes,no,no,0,7,9,6,12.7,0,0,8,8,7,13.57142857,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,1,female,20.0,9085,Veterinary Nursing,daytime,Secondary education,132.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,119.1,no,no,no,yes,no,no,0,6,8,6,13.28571429,0,0,6,16,6,11.8,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,female,18.0,9130,Equinculture,daytime,Secondary education,132.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Unskilled Workers,121.9,yes,no,no,yes,no,no,0,6,8,6,14.5,0,0,6,9,6,12.85714286,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,1,female,18.0,9085,Veterinary Nursing,daytime,Secondary education,142.0,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,132.4,yes,no,no,yes,no,no,0,6,8,6,13.85714286,0,0,6,15,6,13.1,0,12.4,0.5,1.79,Graduate
single,Technological specialization diploma holders,1,male,21.0,9003,Agronomy,daytime,Technological specialization course,120.0,Portuguese,Higher Education (Master's Degree),Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,120.0,no,no,no,yes,no,no,0,6,9,5,13.4,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,6,female,18.0,9500,Nursing,daytime,Secondary education,138.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",124.8,yes,no,no,yes,no,no,0,8,8,7,13.41428571,0,0,8,8,7,13.41428571,0,12.7,3.7,-1.7,Dropout
married,Over 23 years old,1,male,53.0,9130,Equinculture,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,no,no,no,yes,no,no,0,5,9,4,12.25,2,0,5,8,4,11.75,0,9.4,-0.8,-3.12,Graduate
single,Holders of other higher courses,1,female,26.0,8014,Social Service (evening attendance),evening,Higher education - degree,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,140.0,no,no,no,no,no,no,0,5,9,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout
married,Change of course,1,female,41.0,9991,Management (evening attendance),evening,Higher education - degree,130.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",130.0,no,no,no,yes,no,no,5,10,14,10,14.63636364,0,5,10,13,10,14.6,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,female,19.0,9070,Communication Design,daytime,Secondary education,135.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,128.0,yes,no,no,yes,yes,no,0,6,6,6,14.0,0,0,6,8,6,13.125,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,4,female,19.0,171,Animation and Multimedia Design,daytime,Secondary education,146.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",151.3,yes,no,no,yes,yes,no,6,12,12,12,12.75,0,4,11,16,11,13.25,0,8.9,1.4,3.51,Graduate
single,Change of course,1,female,19.0,9070,Communication Design,daytime,Secondary education,150.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,140.8,no,no,no,yes,no,no,1,6,6,5,12.4,0,0,6,8,6,12.75,0,10.8,1.4,1.74,Enrolled
single,Change of course,1,male,50.0,8014,Social Service (evening attendance),evening,11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Armed Forces Professions,112.5,no,no,no,yes,no,no,6,13,13,6,11.33333333,0,2,11,11,2,13.5,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,5,female,19.0,9556,Oral Hygiene,daytime,Secondary education,139.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,121.3,yes,no,no,yes,yes,no,0,7,8,7,13.38571429,0,0,8,8,8,13.3875,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,female,18.0,9070,Communication Design,daytime,Secondary education,182.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",156.8,yes,no,no,yes,no,no,0,6,6,6,12.66666667,0,0,6,8,6,13.25,0,10.8,1.4,1.74,Graduate
single,Transfer,1,female,25.0,9500,Nursing,daytime,Secondary education,100.0,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Specialists in Intellectual and Scientific Activities,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",130.0,yes,no,no,yes,no,no,0,14,14,12,13.29166667,1,0,14,14,12,13.29166667,1,7.6,2.6,0.32,Graduate
single,Over 23 years old,1,female,28.0,9670,Advertising and Marketing Management,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,no,no,no,yes,no,no,0,6,8,1,10.0,0,0,6,9,0,0.0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,female,26.0,9003,Agronomy,daytime,Secondary education,130.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",140.0,no,no,no,yes,no,no,6,12,13,6,13.0,0,4,12,14,11,13.83333333,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,1,female,19.0,9238,Social Service,daytime,Secondary education,133.0,Brazilian,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119.7,yes,no,yes,yes,yes,yes,0,6,8,6,12.66666667,0,0,6,7,6,12.66666667,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,1,female,18.0,9238,Social Service,daytime,Secondary education,132.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",135.9,no,no,no,yes,no,no,0,6,11,5,12.4,0,0,6,7,6,13.0,0,9.4,-0.8,-3.12,Graduate
single,Over 23 years old,1,male,31.0,9556,Oral Hygiene,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,100.0,no,no,no,yes,no,no,0,7,7,0,0.0,0,0,7,7,0,0.0,0,15.5,2.8,-4.06,Dropout
married,Over 23 years old,1,female,39.0,9147,Management,daytime,Secondary education,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",130.0,yes,no,no,no,no,no,0,5,12,3,10.66666667,2,0,5,15,3,10.66666667,0,9.4,-0.8,-3.12,Dropout
